id;Nome;Tipo;Valor;Categoria;Conta;Data;Obs;desconsiderar;Parcela;Data origem;Data Criacao;TAG
16;Gasosa;Despesa;-100,0;Transporte;PDA;01/03/2023 00:00;;False;;;;
16;Uber;Despesa;-13,94;Transporte;PDA;01/03/2023 00:00;;False;;;;
57;genera;Despesa;-36,58;Compras;PDA;01/03/2023 00:00;;False;2.0;01/02/2023;;
58;Relogio;Despesa;-99,88;Compras;PDA;01/03/2023 00:00;;False;2.0;01/02/2023;;
59;mercado llivre;Despesa;-17,71;Compras;PDA;01/03/2023 00:00;;False;2.0;01/02/2023;;
60;Hotel urbano(ITALIA);Despesa;-469,25;Viagem;PDA;01/03/2023 00:00;;False;2.0;01/02/2023;;
63;bateria onix;Despesa;-96,68;Serviços;PDA;01/03/2023 00:00;;False;2.0;01/02/2023;;
52;Transferência;Transferência;40,0;Transferência;Nubank;01/03/2023 00:00;paguei o jeronimo para meu pai;True;;;;
158;Youcom;Despesa;-81,9;Compras;PDA;01/03/2023 00:00;;False;2.0;01/02/2023;23/04/2023 15:54;
61;peças onix mercado livre;Despesa;-33,3;Serviços;PDA;01/03/2023 00:00;;False;5.0;01/02/2023;;
158;Youcom;Despesa;-81,9;Compras;PDA;01/03/2023 00:00;;False;5.0;01/02/2023;23/04/2023 15:54;
98;Bonus;Receita;26837,97;Salário;Itaú;01/03/2023 00:00;;False;;;23/04/2023 14:59;
99;Antecipacao onix;Despesa;-15000,0;Onix;Itaú;01/03/2023 00:00;;False;;;23/04/2023 14:59;
100;Aplicação;Investimento;1108,96;Fundos;Ion;01/03/2023 00:00;;True;;Itaú;23/04/2023 15:00;
100;Aplicação;Investimento;-1108,96;Fundos;Itaú;01/03/2023 00:00;;True;;Ion;23/04/2023 15:00;
101;nath;Despesa;-600,0;Educação;Itaú;01/03/2023 00:00;;False;;;23/04/2023 15:01;
102;tim;Despesa;-59,14;TV,Internet,Telefone;Itaú;01/03/2023 00:00;;False;;;23/04/2023 15:01;
23;microsoft;Despesa;-29,99;TV,Internet,Telefone;PDA;02/03/2023 00:00;;False;2.0;02/02/2023;;
17;gympass;Despesa;-45,9;Saúde;PDA;03/03/2023 00:00;;False;;;;
18;agenda;Despesa;-21,9;Compras;PDA;03/03/2023 00:00;;False;;;;
19;mercado;Despesa;-32,15;Supermercado;PDA;03/03/2023 00:00;;False;;;;
67;Uber;Despesa;-13,94;Transporte;PDA;03/03/2023 00:00;;False;;;06/04/2023 11:42;
68;Associacao atletica;Despesa;-35,0;Lazer;PDA;03/03/2023 00:00;;False;;;06/04/2023 11:43;
69;gympass;Despesa;-49,9;Saúde;PDA;03/03/2023 00:00;;False;;;06/04/2023 11:44;
20;google fotos;Despesa;-6,99;TV,Internet,Telefone;PDA;06/03/2023 00:00;;False;2.0;06/02/2023;;
71;batata;Despesa;-25,98;Restaurante;PDA;06/03/2023 00:00;;False;;;06/04/2023 11:45;
72;Drogal;Despesa;-125,9;Saúde;PDA;07/03/2023 00:00;;False;;;23/04/2023 14:40;
3;pagamento bianca;Receita;90,0;Outros;Itaú;07/03/2023 00:00;;False;;;;
73;polo show (;Despesa;-44,2;Compras;PDA;08/03/2023 00:00;N sei oq é;False;;;23/04/2023 14:41;
74;ifood;Despesa;-23,79;Restaurante;PDA;08/03/2023 00:00;;False;;;23/04/2023 14:42;
22;youse;Despesa;-200,0;Serviços;C6;09/03/2023 00:00;;False;2.0;09/02/2023;;
75;luciana aparecida;Despesa;-17,0;Restaurante;PDA;10/03/2023 00:00;;False;;;23/04/2023 14:43;
76;gasosa;Despesa;-100,0;Transporte;PDA;10/03/2023 00:00;;False;;;23/04/2023 14:43;
159;Casas bahia;Despesa;-51,67;Compras;PDA;10/03/2023 00:00;;False;1.0;10/03/2023;23/04/2023 15:57;
103;Galaxy s22;Despesa;-3006,9;Compras;Itaú;10/03/2023 00:00;;False;;;23/04/2023 15:04;
104;mp.josegav;Despesa;-2,1;Multas;Itaú;10/03/2023 00:00;;False;;;23/04/2023 15:04;
105;pai transf;Despesa;-5,0;Presentes;Itaú;10/03/2023 00:00;;False;;;23/04/2023 15:05;
77;Amazon;Despesa;-29,81;Compras;PDA;13/03/2023 00:00;;False;;;23/04/2023 14:44;
78;fernanda + droga;Despesa;-15,3;Compras;PDA;13/03/2023 00:00;;False;;;23/04/2023 14:45;
79;jana capas box  + tinhos;Despesa;-64,0;Restaurante;PDA;13/03/2023 00:00;;False;;;23/04/2023 14:45;
80;ifood;Despesa;-27,98;Restaurante;PDA;13/03/2023 00:00;;False;;;23/04/2023 14:46;
